position1,position2,position3,position4,position5,position6,position7,torque1,torque2,torque3,torque4,torque5,torque6,torque7,tactile0,tactile1,tactile2,tactile3,tactile4,tactile5,tactile6,tactile7,tactile8,tactile9,tactile10,tactile11,tactile12,tactile13,tactile14,tactile15
0.569770476,-0.129331745,0.801739979,-0.421209481,-0.830182538,0.899330602,-0.382539449,-0.117651813,0.490716342,-0.572379601,0.207444484,0.078947367,0.145588257,-0.114084562,-0.9,-0.9,-0.9,-0.9,-0.9,-0.898548387,-0.9,-0.9,-0.897096774,-0.9,-0.898548387,-0.9,-0.9,-0.9,-0.9,-0.9
0.569770476,-0.104289619,0.801484725,-0.421221986,-0.830139851,0.899380805,-0.382403592,-0.10758792,0.398680533,-0.513314441,0.205189646,0.055263148,0.142279433,-0.114084562,-0.9,-0.9,-0.9,-0.9,-0.901451613,-0.89564516,-0.898548387,-0.898548387,-0.897096774,-0.894193548,-0.897096774,-0.9,-0.9,-0.9,-0.9,-0.9
0.569770476,-0.062156642,0.801395386,-0.421297018,-0.830107837,0.899431008,-0.382403592,-0.114057481,0.480537277,-0.567280446,0.207444484,0.078947367,0.155514724,-0.114084562,-0.9,-0.9,-0.9,-0.9,-0.892741936,-0.889838708,-0.892741934,-0.895645162,-0.897096774,-0.897096774,-0.898548387,-0.9,-0.9,-0.9,-0.9,-0.9
0.569087164,-0.00925337,0.801306047,-0.421484741,-0.830118508,0.899330618,-0.382539449,-0.025638989,0.275259221,-0.47209631,0.23450245,0.086842102,0.188602963,-0.082394416,-0.9,-0.9,-0.9,-0.891290323,-0.62709678,-0.611129023,-0.670645162,-0.676451618,-0.894193548,-0.897096774,-0.895645162,-0.9,-0.9,-0.9,-0.9,-0.9
0.56837078,0.02372742,0.801382623,-0.421647357,-0.830427883,0.899129821,-0.38272907,0.013658073,0.413100914,-0.566855516,0.261882567,0.173684211,0.254779432,-0.038028224,-0.9,-0.9,-0.9,-0.86951613,-0.17129033,-0.119032259,-0.271451609,-0.255483869,-0.894193548,-0.897096774,-0.897096774,-0.9,-0.9,-0.9,-0.9,-0.9
0.568029645,0.03983226,0.801433674,-0.421734894,-0.832049307,0.899012674,-0.382810336,0.024920153,0.477568393,-0.597025485,0.26768071,0.18947368,0.27132355,-0.019014136,-0.9,-0.9,-0.9,-0.870967743,0.023225788,0.085645167,-0.088548383,-0.055161318,-0.894193548,-0.9,-0.894193549,-0.9,-0.9,-0.9,-0.9,-0.9
0.567961418,0.04493928,0.801484725,-0.421734894,-0.832603997,0.898995934,-0.382864513,0.017491928,0.555607964,-0.628895173,0.275089428,0.221052641,0.297794141,-0.012676107,-0.9,-0.9,-0.9,-0.872419356,0.076935467,0.143709681,-0.036290342,-6.71E-08,-0.894193548,-0.894193548,-0.894193549,-0.9,-0.9,-0.9,-0.9,-0.9
0.567927304,0.045710401,0.801484725,-0.4217474,-0.832614658,0.898962487,-0.382864513,0.021805019,0.54076348,-0.616572233,0.274767308,0.205263164,0.294485317,-0.006338078,-0.9,-0.9,-0.9,-0.876774194,0.084193525,0.148064516,-0.029032284,0.008709683,-0.895645161,-0.897096774,-0.894193549,-0.9,-0.9,-0.9,-0.9,-0.9
0.567961418,0.045773608,0.801523013,-0.421734894,-0.83262532,0.898979211,-0.382783247,0.012460038,0.541611748,-0.622096309,0.272512482,0.197368422,0.294485317,-0.006338078,-0.9,-0.9,-0.9,-0.875322581,0.087096748,0.150967739,-0.029032284,0.011612932,-0.897096774,-0.9,-0.897096774,-0.9,-0.9,-0.9,-0.9,-0.9
0.567859077,0.044724378,0.801523013,-0.421246949,-0.831121233,0.898979211,-0.382783247,0.036661317,0.444062231,-0.572804524,0.329205385,0.315789484,0.284558845,0.006337981,-0.9,-0.9,-0.9,-0.876774194,0.087096748,0.149516127,-0.029032284,0.011612932,-0.894193548,-0.897096774,-0.895645162,-0.9,-0.9,-0.9,-0.9,-0.9
0.567551795,0.028480501,0.80151025,-0.403780018,-0.819355216,0.898694763,-0.383108414,0.100399446,0.308765351,-0.484844186,0.426807422,0.442105266,0.228308845,0.063380231,-0.9,-0.9,-0.9,-0.82451613,0.04790321,0.10161292,-0.075483879,-0.062419376,-0.895645161,-0.9,-0.894193549,-0.9,-0.9,-0.9,-0.9,-0.9
0.567551274,-0.008482261,0.801561301,-0.356108564,-0.762541179,0.898527429,-0.383515054,0.10806708,0.461451518,-0.525637387,0.416177458,0.378947375,0.185294137,0.133098552,-0.884032258,-0.669193561,-0.676451606,-0.364354833,-0.123387096,-0.153870989,-0.304838714,-0.422419361,-0.895645161,-0.897096774,-0.895645162,-0.895645161,-0.9,-0.9,-0.9,-0.9
0.5672104,-0.040161014,0.801535776,-0.29681349,-0.64443285,0.898594372,-0.38392159,0.199121431,0.350754052,-0.456373933,0.458375058,0.410526313,0.15551473,0.221830925,-0.814354838,-0.360000005,-0.435483871,-0.056612916,-0.193064516,-0.270000017,-0.406451601,-0.555967735,-0.895645161,-0.891290323,-0.894193549,-0.897096774,-0.9,-0.9,-0.9,-0.9
